City_ID,City,Country,Date,Current Description,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
211,Hithadhoo,MV,2022-07-23 22:35:31,overcast clouds,-0.6,73.0833,81.25,72,100,4.36
212,Bethel,US,2022-07-23 22:35:32,clear sky,41.3712,-73.414,92.52,47,0,6.91
213,Kahului,US,2022-07-23 22:33:12,scattered clouds,20.8947,-156.47,89.62,54,40,19.57
214,Flinders,AU,2022-07-23 22:35:32,clear sky,-34.5833,150.8552,52.38,94,10,2.59
215,Nchelenge,ZM,2022-07-23 22:35:32,scattered clouds,-9.3451,28.734,67.62,52,39,6.26
216,Kutum,SD,2022-07-23 22:35:33,broken clouds,14.2,24.6667,81.82,36,62,4.74
217,Teknaf,BD,2022-07-23 22:35:33,overcast clouds,20.8624,92.3058,77.18,91,100,7.63
218,Bhinga,IN,2022-07-23 22:35:33,broken clouds,27.7167,81.9333,83.37,72,68,12.68
219,Port Hedland,AU,2022-07-23 22:35:34,clear sky,-20.3167,118.5667,57.25,72,0,10.36
220,Tautira,PF,2022-07-23 22:35:34,light rain,-17.7333,-149.15,79.18,76,4,16.44
221,Vardo,NO,2022-07-23 22:35:34,overcast clouds,70.3705,31.1107,49.98,93,100,9.22
222,Mayo,US,2022-07-23 22:35:11,clear sky,38.8876,-76.5119,97.36,65,0,12.66
223,Monte Redondo,PT,2022-07-23 22:35:35,broken clouds,39.8993,-8.8317,66.42,91,75,4.61
224,Badia Polesine,IT,2022-07-23 22:35:35,overcast clouds,45.0972,11.4916,82.9,67,99,2.57
225,Innisfail,AU,2022-07-23 22:35:36,overcast clouds,-17.5333,146.0333,66.29,77,98,4.88
226,Tumaco,CO,2022-07-23 22:35:36,overcast clouds,1.7986,-78.8156,76.87,84,99,7.99
227,Bilma,NE,2022-07-23 22:35:36,clear sky,18.6853,12.9164,92.43,23,8,4.68
228,Puerto Ayora,EC,2022-07-23 22:32:48,broken clouds,-0.7393,-90.3518,78.76,87,78,8.01
229,Vestmannaeyjar,IS,2022-07-23 22:33:49,overcast clouds,63.4427,-20.2734,54.03,86,100,6.69
230,Okha,RU,2022-07-23 22:32:09,scattered clouds,53.5739,142.9478,61.81,74,32,11.07
231,Rio Gallegos,AR,2022-07-23 22:36:37,clear sky,-51.6226,-69.2181,28.45,93,0,11.5
232,Celendin,PE,2022-07-23 22:36:37,few clouds,-6.8703,-78.1517,64.92,65,23,4.9
233,Bogo,PH,2022-07-23 22:36:38,overcast clouds,11.0517,124.0055,80.69,81,99,2.37
234,Marsa Matruh,EG,2022-07-23 22:36:38,clear sky,31.3525,27.2453,77.2,83,0,6.91
235,Tarakan,ID,2022-07-23 22:36:38,scattered clouds,3.3,117.6333,78.3,94,40,0.0
